name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
World War II by country,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Almost every country in the world participated in World War II. Most were neutral at the beginning, but relatively few nations remained neutral to the end. World War II pitted two alliances against ea"
Thermopylae in popular culture,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Thermopylae in 480 BCE was a last stand by a Greek army led by King Leonidas I of Sparta against an Achaemenid Persian army led by Xerxes I during the Second Persian invasion of Greece. 
the Masts,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Masts (Arabic: مَعْرَكَة ذَات الصَّوَارِي, romanized: Maʿrakat Dhāt al-Ṣawārī) was a naval battle fought in 655 between the Rashidun Caliphate under the command of Abu al-A'war and t"
Ad Decimum,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ad Decimum took place on September 13, 533 between the armies of the Vandals, commanded by King Gelimer, and the Byzantine Empire, under the command of General Belisarius. This event and"
Elchingen,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Elchingen, fought on 14 October 1805, saw French forces under Michel Ney rout an Austrian corps led by Johann Sigismund Riesch. This defeat led to a large part of the Austrian army being"
Falklands War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Falklands War (Spanish: Guerra de las Malvinas) was a ten-week undeclared war between Argentina and the United Kingdom in 1982 over two British dependent territories in the South Atlantic: the Fal
Versinikia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Bulgarian Battle of Versinikia (Bulgarian: Битката при Версиникия; Greek: Μάχη της Βερσινικίας) was a battle fought in 813 AD between the Byzantine Empire and the Bulgarian Empire, near the city of Ad"
Cowpens,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Cowpens was a military engagement during the American Revolutionary War fought on January 17, 1781, near the town of Cowpens, South Carolina. Patriot forces, estimated at 2,000 regulars "
Constantinople (717–718),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"In 717–718, Constantinople, the capital of the Byzantine Empire, was besieged by the Muslim Arabs of the Umayyad Caliphate. The campaign marked the culmination of twenty years of attacks and progressi"
War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"War is an armed conflict between the armed forces of states, or between governmental forces and armed groups that are organized under a certain command structure and have the capacity to sustain milit"
Malta (World War II),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Malta (or battle of Malta) in World War II was a military campaign in the Mediterranean theatre. From June 1940 to November 1942, the fight for the control of the strategically important "
Lepanto,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Lepanto was a naval engagement that took place on 7 October 1571 when a fleet of the Holy League, a coalition of Catholic states arranged by Pope Pius V, inflicted a major defeat on the "
Polish–Ottoman War (1620–1621),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Polish–Ottoman War (1620–1621) was a conflict between the Polish–Lithuanian Commonwealth and the Ottoman Empire over the control of Moldavia. It ended with the Commonwealth withdrawing its claims 
Atlantic U-boat campaign of World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Atlantic U-boat campaign of World War I (sometimes called the ""First Battle of the Atlantic"", in reference to the World War II campaign of that name) was the prolonged naval conflict between Germa"
Kursk campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"On 6 August 2024, during the Russo-Ukrainian war, the Armed Forces of Ukraine launched an incursion into Russia's Kursk Oblast and clashed with the Russian Armed Forces and Russian border guard. A sta"
Canada in World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The history of Canada in World War I began on August 4, 1914, when the United Kingdom entered the First World War (1914–1918) by declaring war on Germany. The British declaration of war automatically "
Balkan Wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Balkan Wars were two conflicts that took place in the Balkan states in 1912 and 1913. In the First Balkan War, the four Balkan states of Greece, Serbia, Montenegro and Bulgaria declared war upon t"
Pliska,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Pliska or Battle of Vărbitsa Pass was a series of battles between troops, gathered from all parts of the Byzantine Empire, led by the Emperor Nicephorus I, and the First Bulgarian Empire"
Ankara,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ankara or Angora (Ottoman Turkish: آنقره محاربه‌سی, romanized: Anḳara Muḥârebesi) was fought on 28 July 1402, at the Çubuk plain near Ankara, between the forces of the Ottoman sultan Bay"
List of South African Battle Honours,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The South African National Defence Force follows the British Army system of awarding battle honours to military units, to recognize the battles and campaigns in which they have fought with distinction"
List of battles of the Mexican–American War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The battles of the Mexican–American War include all major engagements and most reported skirmishes, including Thornton's Defeat, the Battle of Palo Alto, and the Battle of Resaca de la Palma, which to"
Servile Wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Servile Wars were a series of three slave revolts (""servile"" is derived from servus, Latin for ""slave"") in the late Roman Republic:

First Servile War (135−132 BC)  —  in Sicily, led by Eunus, a f"
List of military engagements of World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This list of military engagements of World War I covers terrestrial, maritime, and aerial conflicts, including campaigns, operations, defensive positions, and sieges. Campaigns generally refer to broa"
Lists of battles of the French Revolutionary Wars and Napoleonic Wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,These are lists of battles of the French Revolutionary and Napoleonic Wars (1792–1815).
Battles of the Isonzo,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battles of the Isonzo (also known as the Isonzo Front by historians, or the Soča Front; Slovene: soška fronta) were a series of twelve battles between the Austro-Hungarian and Italian armies in Wo"
Prisoners of war in World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Prisoners of war during World War II faced vastly different fates due to the POW conventions adhered to or ignored, depending on the theater of conflict, and the behaviour of their captors. During the"
List of Anglo-Indian wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Anglo-Indian wars were the several wars fought in the Indian Subcontinent, over a period of time, between the British East India Company and different Indian states, mainly the Mughal Empire, Rohi"
Lake Trasimene,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Lake Trasimene was fought when a Carthaginian force under Hannibal ambushed a Roman army commanded by Gaius Flaminius on 21 June 217 BC, during the Second Punic War. The battle took plac"
China in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Vietnam War was a major event that shaped the course of the world in the second half of the 20th century. Although it was a regional conflict that occurred on the Indochinese Peninsula, it also af"
Operation Sunrise (Vietnam War),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Operation Sunrise was the first phase of a long-range South Vietnamese counter-offensive against the Việt Cộng (VC) during the Vietnam War. Launched with the United States in March 1962, the goal of t"
1948 Arab–Israeli War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The 1948 Arab–Israeli War, also known as the First Arab–Israeli War, followed the civil war in Mandatory Palestine as the second and final stage of the 1948 Palestine war. The civil war became a war o"
List of battles of the Second Punic War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is an incomplete list of battles of the Second Punic War, showing the battles on the Italian peninsula and some in Africa, in Sicily and Hispania.

"
Second El Alamein,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Second Battle of El Alamein (23 October – 11 November 1942) was a battle of the Second World War that took place near the Egyptian railway halt of El Alamein. The First Battle of El Alamein and th
Hong Kong,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Hong Kong (8–25 December 1941), also known as the Defence of Hong Kong and the Fall of Hong Kong, was one of the first battles of the Pacific War in World War II. On the same morning as "
Yom Kippur War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Yom Kippur War, also known as the 1973 Arab–Israeli War, the fourth Arab–Israeli War, the October War, or the Ramadan War, was fought from 6 to 25 October 1973 between Israel and a coalition of Ar"
Ma'arra,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Ma'arra occurred in late 1098 in the city of Ma'arrat Nu'man, in what is modern-day Syria, during the First Crusade. It is infamous for the claims of widespread cannibalism committed by t"
Sarajevo,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Sarajevo (Serbo-Croatian: Опсада Сарајева, romanized: Opsada Sarajeva) was a prolonged military blockade of Sarajevo, the capital of Republic of Bosnia and Herzegovina, during the ethnica"
the Paracel Islands,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Paracel Islands (Chinese: 西沙海战 (pinyin Xisha haizhan)；Vietnamese: Hải chiến Hoàng Sa) was an engagement between the Chinese and South Vietnamese navies near the Paracel Islands from 
The Siege,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Siege is a 1998 American action thriller film directed by Edward Zwick. The film is about a situation in which terrorist cells have made several attacks in New York City. The film stars Denzel Was
Warhammer Ancient Battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Warhammer Ancient Battles (often referred to as ""WAB"" and sometimes Warhammer Historical) is a ruleset for miniatures wargames produced by Games Workshop's Warhammer Historical Wargames imprint. It is"
Lists of battles of the Mongol invasion of Europe,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,These are lists of battles of the Mongol invasion of Europe.
Armies in the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This article is designed to give background into the organization and tactics of Civil War armies. This brief survey is by no means exhaustive, but it should give enough material for a better understa"
the Nations (modern tournament),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Nations is an international historical medieval battles world championship, first held in 2009, in Khotyn, Ukraine and held in Europe, in April, every year until the 2020 and 2021 ev"
River,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the River, also known as Battle of Al Madhar, took place in Mesopotamia (Asoristan Province) between the forces of the Rashidun Caliphate and the Sasanian Empire. Muslims, under Khalid i"
Rezang La,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Rezang La , also known as Battle of No.8 and No.9 Indian Posts in Ngari (Chinese: 阿印8、9号据点之战) in Chinese narrative, was a military engagement that took place on 18 November 1962, during "
Military history of Greece during World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The military history of Greece during World War II began on 28 October 1940, when the Italian Army invaded Greece from Albania, beginning the Greco-Italian War. The Greek Army temporarily halted the i"
Battles of Saratoga,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battles of Saratoga (September 19 and October 7, 1777) were two battles between the American Continental Army and the British Army fought near Saratoga, New York, concluding the Saratoga campaign "
List of books about the Napoleonic Wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This is a non-fiction bibliography of works about the Napoleonic Wars as selected by editors.
the Mona Passage,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Mona Passage was a naval engagement on 19 April 1782 taking place in the aftermath of the Battle of the Saintes between Britain and France during the American Revolutionary War. A Br
List of battles 301–1300,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This is a list of battles from 301 A.D. to 1300 A.D.
East African campaign (World War II),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The East African campaign (also known as the Abyssinian campaign) was fought in East Africa during the Second World War by Allies of World War II, mainly from the British Empire, against Italy and its"
Vienna,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Siege and Battle of Vienna took place at Kahlenberg Mountain near Vienna on 12 September 1683 after the city had been besieged by the Ottoman Empire for two months. The battle was fought by the Ho
Vietnam War casualties,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Estimates of casualties of the Vietnam War vary widely. Estimates can include both civilian and military deaths in North and South Vietnam, Laos, and Cambodia.
The war lasted from 1955 to 1975 and mos"
Ancient warfare,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Ancient warfare is war that was conducted from the beginning of recorded history to the end of the ancient period. The difference between prehistoric and ancient warfare is more organization oriented 
Allied war crimes during World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"During World War II, the Allies committed legally proven war crimes and violations of the laws of war against either civilians or military personnel of the Axis powers. At the end of World War II, man"
World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,World War II or the Second World War (1 September 1939 – 2 September 1945) was a global conflict between two coalitions: the Allies and the Axis powers. Nearly all of the world's countries participate
Cannae,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Cannae (; Latin: [ˈkanːae̯]) was a key engagement of the Second Punic War between the Roman Republic and Carthage, fought on 2 August 216 BC near the ancient village of Cannae in Apulia,"
Hobkirk's Hill,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Hobkirk's Hill (sometimes referred to as the Second Battle of Camden) was a battle of the American Revolutionary War fought on April 25, 1781, near Camden, South Carolina. A small Americ"
Total War (video game series),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Total War is a series of strategy games developed by British developer Creative Assembly for personal computers. They combine turn-based strategy and resource management with real-time tactical contro
List of battles of the Russo-Japanese War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The following are known battles of the Russo-Japanese War, including all major engagements. 
The Russo-Japanese War lasted from 1904 until 1905. The conflict grew out of the rival imperialist ambition"
Leuven (891),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Leuven, also called the Battle of the River Dyle, was fought in September 891 between East Francia and the Vikings. The existence of this battle is known through several different chroni"
Battles of Latrun (1948),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battles of Latrun were a series of military engagements between the Israel Defense Forces and the Jordanian Arab Legion on the outskirts of Latrun between 25 May and 18 July 1948, during the 1948 "
Civetot,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Civetot was fought between the forces of the People's Crusade and of the Seljuk Turks of Anatolia on 21 October 1096. The battle brought an end to the People's Crusade; some of the survi
Arcadiopolis (970),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Arcadiopolis was fought in 970 between a Byzantine army under Bardas Skleros and a Rus' army, the latter also including allied Bulgarian, Pecheneg, and Hungarian (Magyar) contingents. In"
Smear campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"A smear campaign, also referred to as a smear tactic or simply a smear, is an effort to damage or call into question someone's reputation, by propounding negative propaganda. It makes use of discredit"
List of films and television shows about the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The following is a list of films and television shows about the American Civil War (1861–1865).
Russo-Ukrainian war,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Russo-Ukrainian war began in February 2014 and is ongoing. Following Ukraine's Revolution of Dignity, Russia occupied and annexed Crimea from Ukraine. It then supported Russian paramilitaries who "
Leipzig,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Leipzig, also known as the Battle of the Nations, was fought from 16 to 19 October 1813 at Leipzig, Saxony. The Coalition armies of Austria, Prussia, Sweden, and Russia, led by Tsar Alex"
Dumlupınar,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Dumlupınar (Greek: Μάχη του Τουμλού Μπουνάρ, romanized: Máchi tou Toumloú Bounár, Turkish: Dumlupınar (Meydan) Muharebesi, lit. 'Dumlupınar (Field) Battle'), or known as Field Battle of "
Six-Day War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Six-Day War, also known as the June war, 1967 Arab–Israeli war or third Arab–Israeli war, was fought between Israel and a coalition of Arab states, primarily Egypt, Syria, and Jordan from 5 to 10 "
United States in the Korean War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The military history of the United States in Korea began after the defeat of Japan by the Allied Powers in World War II. This brought an end to 35 years of Japanese occupation of the Korean peninsula 
St. Lucia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of St. Lucia or the Battle of the Cul de Sac was a naval battle fought off the island of St. Lucia in the West Indies during the American Revolutionary War on 15 December 1778, between the "
Saucourt-en-Vimeu,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Saucourt was part of the Viking invasions of West Francia and occurred between forces of Vikings and the troops of Kings of West Francia, Louis III of France and his brother Carloman II,"
Napoleonic Wars casualties,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The casualties of the Napoleonic Wars (1803–1815), direct and indirect, are broken down below:
Note that the following deaths listed include both killed in action as well as deaths from other causes: "
Wavre,d,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Wavre was the final major military action of the Hundred Days campaign and the Napoleonic Wars. It was fought on 18–19 June 1815 between the Prussian rearguard, consisting of the Prussia"
1965 in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"In 1965, the United States rapidly increased its military forces in South Vietnam, prompted by the realization that the South Vietnamese government was losing the Vietnam War as the communist-dominate"
Tettenhall,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Tettenhall (sometimes called the Battle of Wednesfield or Wōdnesfeld) took place, according to the chronicler Æthelweard, near Tettenhall on 5 August 910. The allied forces of Mercia and"
List of costliest American Civil War land battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of the costliest land battles of the American Civil War, measured by casualties (killed, wounded, captured, and missing) on both sides."
Manila (1945),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Manila (Filipino: Labanan sa Maynila; Japanese: マニラの戦い, romanized: Manira no Tatakai; Spanish: Batalla de Manila; 3 February – 3 March  1945) was a major battle during the Philippine cam"
the Coral Sea,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Coral Sea, from 4 to 8 May 1942, was a major naval battle between the Imperial Japanese Navy (IJN) and naval and air forces of the United States and Australia. Taking place in the Pa"
List of Vietnam War games,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Vietnam War has been depicted in many games.
Cold War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Cold War was a period of global geopolitical rivalry between the United States (US) and the Soviet Union (USSR) and their respective allies, the capitalist Western Bloc and communist Eastern Bloc,"
Peloponnesian War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Second Peloponnesian War (431–404 BC), often called the Peloponnesian War (Ancient Greek: Πόλεμος τῶν Πελοποννησίων, romanized: Pólemos tō̃n Peloponnēsíōn), was a war fought between Athens and Spa"
the Eurymedon,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Eurymedon was a double battle, taking place both on water and land, between the Delian League of Athens and her Allies, and the Persian Empire of Xerxes I. It took place in either 46"
Khed,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Khed took place on 12 October 1707, between Shahu I and the forces of Tarabai led by Dhanaji Jadhav. The battle occurred at Khed, situated near the Bhima river to the north of Pune."
Ia Drang,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ia Drang (Vietnamese: Trận Ia Đrăng, [iə̯ ɗrăŋ]; in English ) was the first major battle between the United States Army and the People's Army of Vietnam (PAVN), as part of the Pleiku cam"
The war to end war,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"""The war to end war"" (now commonly phrased ""the war to end all wars""; originally from the 1914 book The War That Will End War by H. G. Wells) is a term for the First World War (1914–1918). Originally "
Tololing,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Tololing was a pivotal battle in the Kargil War between India and troops from one full battalion of Pakistan’s Northern Light Infantry who were aided by Pakistani irregulars in 1999.
Lists of World War II topics,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This is a list of World War II-related topic lists:
List of North African campaign battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The North African campaign of World War II, sometimes called the ""Desert War"", includes the campaigns in Egypt and Libya (often referred to as the Western Desert campaign or the ""Egypt–Libya Campaign"""
Kars (1745),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Kars (19 August 1745) was the last major engagement of the Ottoman–Persian War. The battle resulted in the complete and utter destruction of the Ottoman army. It was also the last of the
Przemyśl,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Przemyśl was the longest siege in Europe during the First World War, and the second largest in the entire conflict, after the Siege of Medina. The siege was a crushing defeat of the Austr"
Russo-Japanese War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Russo-Japanese War (8 February 1904 – 5 September 1905) was fought between the Russian Empire and the Empire of Japan over rival imperial ambitions in Manchuria and the Korean Empire. The major la
the Bowling Alley,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"In the Battle of the Bowling Alley  (August 21, 1950), United Nations Command (UN) forces defeated North Korean forces early in the Korean War near the city of Daegu, South Korea.  The battle took pla"
Gorangpo,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Gorangpo was one of a series of coordinated attacks beginning on 25 June 1950 that marked the beginning of the Korean War.
Iran–Israel war,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Iran–Israel war (13 June – 25 June 2025), also known as the Twelve-Day War, was an armed conflict in the Middle East. The war began when Israel bombed military and nuclear facilities in Iran in a "
List of Ottoman battles in which the sultan participated,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The List of Ottoman Battles In Which The Sultans Participated In is shown below. Note that the sieges are not included in the list. For a complete list of all battles involving the Ottoman Empire see 
Warfare in Medieval Poland,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Warfare in Medieval Poland covers the military history of Poland during the Piast and Jagiellon dynasties (10th–16th centuries).
South Korea in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"South Korea, which was at the time an semi-presidential republic under its right-wing president Park Chung Hee, took a major active role in the Vietnam War. The Korean War just a decade prior was stil"
United Kingdom in the Korean War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The United Kingdom was involved in the Korean War between 25 June 1950 and 27 July 1953. 56,000 British troops participated on the side of the United Nations force.
For the war the United Kingdom prov"
Second Wissembourg,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Second Battle of Wissembourg from 26 December 1793 to 29 December 1793 saw an army of the First French Republic under General Lazare Hoche fight a series of clashes against an army of Austrians, P"
Aleutian Islands campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Aleutian Islands campaign (Japanese: アリューシャン方面の戦い, romanized: Aryūshan hōmen no tatakai) was a military campaign fought between 3 June 1942 and 15 August 1943 on and around the Aleutian Islands in"
Air South Korea,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Air Battle of South Korea was an air campaign early in the Korean War occurring roughly from 25 June to 20 July 1950 over South Korea between the air forces of North Korea and the United Nations, "
Thermopylae,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Thermopylae ( thər-MOP-i-lee) was fought in 480 BC at Thermopylae between the Achaemenid Persian Empire under Xerxes I and an alliance of Greek city-states led by Sparta under Leonidas I
Hearts and Minds (Vietnam War),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Hearts and Minds or winning hearts and minds refers to the strategy and programs used by the governments of South Vietnam and the United States during the Vietnam War to win the popular support of the
Melos,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Melos occurred in 416 BC, during the Peloponnesian War between Athens and Sparta, when the Athenians attacked Melos, an island in the Aegean Sea roughly 110 kilometres (68 miles) east of "
Hatfield Chase,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Hatfield Chase (Old English: Hæðfeld; Old Welsh: Meigen) was fought on 12 October 633 It pitted the Northumbrians against an alliance of Gwynedd and Mercia. The Northumbrians were led by
Yorktown,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Yorktown, also known as the Battle of Yorktown and the surrender at Yorktown, was the final major land engagement of the American Revolutionary War. It was won decisively by the Continent"
The History Channel: Great Battles of Rome,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The History Channel: Great Battles of Rome is a historical real-time tactics video game developed by Slitherine, released on 8 June 2007 by Black Bean Games and the History Channel for Microsoft Windo"
Declarations of war during World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,A declaration of war is a formal act by which one nation goes to war against another. A declaration is usually an act of delivering a performative speech (not to be confused with a mere speech) or the
Anglo-Afghan War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Anglo-Afghan Wars may refer to:

First Anglo-Afghan War (1838–1842)
Second Anglo-Afghan War (1878–1880)
Third Anglo-Afghan War (1919)
Hazara Expedition (1888)
Expedition of Shah Shujah Durrani (1833–1"
Trojan War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Trojan War was a legendary conflict in Greek mythology that took place around the twelfth or thirteenth century BC. The war was waged by the Achaeans (Greeks) against the city of Troy after Paris 
